"","dfTime","SumCalories","AvgCalories"
"1",2016-04-12,78893,2390.69696969697
"2",2016-04-13,75459,2286.63636363636
"3",2016-04-14,77761,2356.39393939394
"4",2016-04-15,77721,2355.18181818182
"5",2016-04-16,76574,2392.9375
"6",2016-04-17,71391,2230.96875
"7",2016-04-18,74668,2333.375
"8",2016-04-19,75491,2359.09375
"9",2016-04-20,76647,2395.21875
"10",2016-04-21,77500,2421.875
"11",2016-04-22,74485,2327.65625
"12",2016-04-23,76709,2397.15625
"13",2016-04-24,73326,2291.4375
"14",2016-04-25,75186,2349.5625
"15",2016-04-26,74604,2331.375
"16",2016-04-27,74514,2328.5625
"17",2016-04-28,74114,2316.0625
"18",2016-04-29,72722,2272.5625
"19",2016-04-30,73592,2373.93548387097
"20",2016-05-01,66913,2230.43333333333
"21",2016-05-02,65988,2275.44827586207
"22",2016-05-03,71163,2453.89655172414
"23",2016-05-04,66211,2283.13793103448
"24",2016-05-05,70037,2415.06896551724
"25",2016-05-06,68877,2375.06896551724
"26",2016-05-07,65141,2246.24137931034
"27",2016-05-08,62193,2303.44444444444
"28",2016-05-09,63063,2335.66666666667
"29",2016-05-10,57963,2229.34615384615
"30",2016-05-11,52562,2190.08333333333
"31",2016-05-12,23925,1139.28571428571
