"","Id","stepsDistanceRatio","Calories"
"1",1,1232.40895453783,2997.16666666667
"2",2,1260.88612798912,3436.58064516129
"3",3,1279.60505536865,3420.25806451613
"4",4,1281.79526824222,2823.1
"5",5,1291.02360573694,3093.87096774194
"6",6,1292.54602387342,2945.8064516129
"7",7,1318.32727813271,2427.4347826087
"8",8,1322.33316568607,2772.70833333333
"9",9,1336.39190204537,3469.67857142857
"10",10,1341.81176954673,2039.66666666667
"11",11,1363.2558362018,2285.70588235294
"12",12,1375.11297597507,2811.3
"13",13,1409.42410709526,2509.96774193548
"14",14,1413.72166326137,2719.94117647059
"15",15,1428.34414006919,2686.125
"16",16,1428.58594131645,1887.33333333333
"17",17,1441.20740728633,2303.05882352941
"18",18,1459.2172664475,1933.1
"19",19,1464.03621948978,1513.66666666667
"20",20,1480.69821203574,2186.1935483871
"21",21,1481.51185555935,1916.96774193548
"22",22,1482.1535916083,1724.16129032258
"23",23,1492.68851862753,2037.67741935484
"24",24,1494.63190058309,1982.03225806452
"25",25,1496.04883145888,2043.44444444444
"26",26,1512.71211812831,2033.25806451613
"27",27,1521.40778472716,1483.35483870968
"28",28,1528.42002055052,1875.67741935484
"29",29,1537.2340667026,2597.6
"30",30,1552.00450458626,1876.96666666667
"31",31,1561.02746432232,2192.52631578947
"32",32,1610.47550162587,1540.64516129032
"33",33,Inf,1713.7619047619
